Age,City,Gender,Income,Education,Occupation/Job,Geophysical Location,Tech Level,Disability,Budget,Usage Frequency
66,Surat,Non-binary,769414,No formal education,Teacher,Rural,Low,Cognitive impairment,67408,Monthly
62,Indore,Male,1952896,Undergraduate degree,Businessperson,Sub-urban,High,Mobility impairment,29425,Monthly
72,Pimpri-Chinchwad,Male,1220507,Undergraduate degree,Businessperson,Sub-urban,High,Visual impairment (Blind),50897,Weekly
26,Delhi,Male,1092823,Primary education,Businessperson,Rural,High,Hearing impairment,60800,Weekly
21,Thane,Female,1742336,Postgraduate degree,Artist,Sub-urban,Medium,Mobility impairment,57016,Daily
38,Delhi,Female,918484,Secondary education,Unemployed,Rural,Low,Mobility impairment,66887,Daily
63,Vadodara,Female,1220019,Primary education,Engineer,Sub-urban,High,Visual impairment (Blind),20264,Daily
35,Visakhapatnam,Non-binary,1048292,Undergraduate degree,Businessperson,Sub-urban,Medium,Speech impairment,94758,Monthly
43,Mumbai,Male,1382620,Undergraduate degree,Technician,Rural,Medium,Cognitive impairment,61178,Weekly
29,Chennai,Non-binary,1771211,Secondary education,Student,Rural,Low,Visual impairment (Blind),94415,Weekly
54,Bengaluru,Male,1090946,Undergraduate degree,Artist,Rural,High,Hearing impairment,33717,Daily
23,Thane,Non-binary,473041,Secondary education,Unemployed,Sub-urban,Medium,Visual impairment (Blind),94881,Weekly
50,Mumbai,Female,471196,Postgraduate degree,Businessperson,Urban,Low,Visual impairment (Blind),15748,Daily
75,Pimpri-Chinchwad,Non-binary,825277,Primary education,Technician,Rural,Medium,Speech impairment,10896,Monthly
51,Vadodara,Non-binary,1616875,Postgraduate degree,Technician,Urban,Medium,Hearing impairment,48158,Daily
26,Bhopal,Male,1877064,No formal education,Unemployed,Sub-urban,Low,Visual impairment (Blind),65518,Daily
37,Bhopal,Female,1369086,Undergraduate degree,Artist,Sub-urban,Medium,Visual impairment (Blind),14249,Daily
73,Nagpur,Male,1901582,Undergraduate degree,Technician,Sub-urban,Medium,Mobility impairment,9439,Monthly
72,Vadodara,Female,731310,Secondary education,Farmer,Urban,High,Visual impairment (Blind),30612,Daily
60,Mumbai,Non-binary,1041659,Primary education,Technician,Sub-urban,Medium,Mobility impairment,64024,Monthly
25,Indore,Female,976566,Undergraduate degree,Doctor,Urban,Medium,Hearing impairment,94132,Weekly
18,Surat,Female,513269,Postgraduate degree,Farmer,Sub-urban,Medium,Hearing impairment,82873,Monthly
39,Mumbai,Non-binary,1333980,No formal education,Engineer,Urban,Medium,Speech impairment,23428,Weekly
62,Nagpur,Female,1720724,Secondary education,Teacher,Sub-urban,Low,Mobility impairment,15314,Daily
61,Pimpri-Chinchwad,Female,487005,Postgraduate degree,Businessperson,Sub-urban,High,Visual impairment (Blind),85502,Monthly
40,Hyderabad,Non-binary,459982,Secondary education,Student,Sub-urban,High,Mobility impairment,81393,Monthly
71,Nagpur,Female,1040160,Postgraduate degree,Teacher,Urban,Medium,Hearing impairment,11789,Weekly
36,Bhopal,Non-binary,1147265,Primary education,Doctor,Rural,Medium,Mobility impairment,72251,Weekly
65,Vadodara,Male,881234,No formal education,Engineer,Rural,Medium,Mobility impairment,61035,Weekly
24,Visakhapatnam,Female,316743,Postgraduate degree,Farmer,Sub-urban,Medium,Cognitive impairment,71628,Daily
27,Indore,Male,1397100,Secondary education,Engineer,Sub-urban,Low,Hearing impairment,39042,Daily
71,Nagpur,Non-binary,198003,Undergraduate degree,Teacher,Urban,Low,Cognitive impairment,34903,Weekly
21,Jaipur,Male,489420,Primary education,Doctor,Urban,Low,Hearing impairment,6803,Monthly
40,Jaipur,Non-binary,246419,Postgraduate degree,Technician,Sub-urban,Low,Cognitive impairment,16968,Weekly
18,Bhopal,Non-binary,1852555,Primary education,Farmer,Urban,High,Mobility impairment,74822,Weekly
45,Kanpur,Female,1217393,Primary education,Doctor,Sub-urban,Medium,Visual impairment (Blind),39911,Daily
19,Nagpur,Female,159105,Undergraduate degree,Farmer,Urban,High,Visual impairment (Blind),8065,Daily
44,Patna,Female,1400632,Undergraduate degree,Artist,Urban,Medium,Mobility impairment,94876,Daily
77,Hyderabad,Male,562441,Postgraduate degree,Farmer,Sub-urban,Medium,Cognitive impairment,43329,Daily
53,Chennai,Non-binary,1936126,Undergraduate degree,Teacher,Sub-urban,High,Visual impairment (Blind),51655,Monthly
57,Patna,Male,490090,Secondary education,Technician,Rural,High,Mobility impairment,13140,Daily
22,Chennai,Male,426923,Postgraduate degree,Businessperson,Urban,Medium,Mobility impairment,91116,Monthly
65,Delhi,Female,373051,Postgraduate degree,Engineer,Sub-urban,High,Speech impairment,61076,Weekly
39,Lucknow,Female,770518,Secondary education,Artist,Urban,High,Cognitive impairment,13972,Weekly
26,Kolkata,Male,1148554,Primary education,Engineer,Urban,Low,Visual impairment (Blind),58548,Monthly
71,Kolkata,Male,842498,Undergraduate degree,Technician,Urban,Medium,Speech impairment,94312,Weekly
35,Bhopal,Female,1208411,Primary education,Teacher,Urban,Medium,Cognitive impairment,23741,Monthly
29,Lucknow,Non-binary,1385158,Undergraduate degree,Farmer,Rural,High,Mobility impairment,76050,Monthly
74,Indore,Non-binary,1100808,Undergraduate degree,Technician,Sub-urban,Low,Hearing impairment,77168,Weekly
74,Bhopal,Non-binary,1603010,Primary education,Student,Sub-urban,Medium,Mobility impairment,25737,Weekly
45,Patna,Male,1630107,Postgraduate degree,Teacher,Sub-urban,High,Cognitive impairment,6652,Monthly
64,Kanpur,Female,539651,Primary education,Unemployed,Urban,High,Visual impairment (Blind),92987,Daily
70,Kanpur,Male,1959224,No formal education,Student,Rural,High,Speech impairment,49902,Daily
63,Vadodara,Female,928687,Secondary education,Farmer,Urban,Medium,Mobility impairment,33234,Monthly
22,Indore,Non-binary,1337590,Undergraduate degree,Businessperson,Rural,Medium,Mobility impairment,57981,Weekly
79,Chennai,Female,1850616,No formal education,Businessperson,Urban,Medium,Visual impairment (Blind),36776,Weekly
50,Chennai,Female,1507624,Primary education,Artist,Sub-urban,Medium,Mobility impairment,74201,Daily
46,Chennai,Non-binary,113570,No formal education,Businessperson,Urban,Medium,Mobility impairment,37495,Daily
30,Thane,Female,399890,Undergraduate degree,Farmer,Sub-urban,Medium,Visual impairment (Blind),46350,Weekly
43,Pune,Male,1114523,Undergraduate degree,Teacher,Rural,High,Mobility impairment,54212,Monthly
80,Indore,Non-binary,1635881,No formal education,Artist,Urban,Medium,Hearing impairment,74771,Monthly
20,Patna,Female,1785607,Primary education,Unemployed,Rural,High,Cognitive impairment,41768,Weekly
51,Vadodara,Female,348286,Secondary education,Teacher,Urban,High,Speech impairment,35947,Daily
55,Hyderabad,Non-binary,1315147,Undergraduate degree,Doctor,Urban,High,Mobility impairment,68670,Weekly
25,Patna,Female,1736194,Postgraduate degree,Technician,Sub-urban,Medium,Hearing impairment,88349,Daily
21,Delhi,Male,1063142,Postgraduate degree,Teacher,Sub-urban,Medium,Speech impairment,93497,Monthly
70,Ahmedabad,Male,532665,Undergraduate degree,Farmer,Rural,Low,Speech impairment,51035,Daily
55,Pune,Female,1645203,Primary education,Doctor,Urban,High,Cognitive impairment,45826,Weekly
74,Visakhapatnam,Female,1128613,Secondary education,Farmer,Rural,High,Cognitive impairment,73052,Weekly
32,Kolkata,Female,878702,Primary education,Businessperson,Urban,High,Hearing impairment,20592,Monthly
50,Vadodara,Non-binary,1819194,Postgraduate degree,Technician,Rural,Medium,Hearing impairment,86549,Monthly
26,Kanpur,Female,1056120,Primary education,Technician,Urban,Low,Cognitive impairment,97155,Monthly
22,Lucknow,Female,581809,Primary education,Student,Rural,High,Cognitive impairment,98805,Monthly
28,Vadodara,Male,456436,Secondary education,Student,Urban,High,Speech impairment,24309,Monthly
54,Lucknow,Male,827289,Undergraduate degree,Businessperson,Rural,Low,Mobility impairment,51357,Weekly
28,Pimpri-Chinchwad,Female,1528126,Primary education,Engineer,Urban,High,Mobility impairment,8034,Monthly
18,Delhi,Non-binary,1464700,Secondary education,Teacher,Sub-urban,Medium,Visual impairment (Blind),25324,Weekly
33,Surat,Female,1808857,No formal education,Engineer,Sub-urban,High,Visual impairment (Blind),84849,Monthly
47,Bengaluru,Non-binary,164370,No formal education,Engineer,Sub-urban,High,Visual impairment (Blind),63843,Daily
48,Delhi,Female,1055892,Undergraduate degree,Artist,Sub-urban,Medium,Mobility impairment,20272,Daily
52,Mumbai,Female,251692,Postgraduate degree,Unemployed,Sub-urban,Medium,Mobility impairment,91749,Weekly
71,Delhi,Female,579810,Undergraduate degree,Teacher,Urban,Medium,Mobility impairment,87922,Monthly
44,Indore,Non-binary,610316,Undergraduate degree,Student,Rural,Medium,Mobility impairment,71593,Daily
58,Thane,Male,1758214,No formal education,Businessperson,Rural,Medium,Visual impairment (Blind),64441,Weekly
69,Jaipur,Non-binary,589998,No formal education,Teacher,Rural,Medium,Mobility impairment,17758,Weekly
54,Pimpri-Chinchwad,Non-binary,1895119,No formal education,Engineer,Urban,High,Mobility impairment,65761,Daily
45,Bhopal,Male,273883,No formal education,Doctor,Rural,Low,Hearing impairment,43382,Monthly
44,Bengaluru,Non-binary,905966,Primary education,Doctor,Urban,Low,Visual impairment (Blind),92129,Weekly
22,Lucknow,Female,1668091,Secondary education,Doctor,Rural,High,Visual impairment (Blind),9876,Weekly
67,Bengaluru,Female,883840,Secondary education,Farmer,Urban,Medium,Mobility impairment,69170,Daily
57,Kolkata,Male,989738,No formal education,Doctor,Urban,Medium,Hearing impairment,28440,Monthly
27,Kolkata,Non-binary,495654,Undergraduate degree,Businessperson,Sub-urban,Medium,Speech impairment,37322,Daily
53,Pimpri-Chinchwad,Female,1269869,Postgraduate degree,Engineer,Rural,Low,Hearing impairment,41988,Daily
63,Surat,Non-binary,704317,Primary education,Doctor,Rural,High,Cognitive impairment,17080,Weekly
32,Pune,Non-binary,1710229,Undergraduate degree,Student,Sub-urban,Low,Hearing impairment,24010,Weekly
25,Bhopal,Female,955407,Undergraduate degree,Teacher,Urban,High,Cognitive impairment,78515,Monthly
56,Surat,Male,1504725,Undergraduate degree,Teacher,Urban,Medium,Mobility impairment,85608,Weekly
36,Hyderabad,Male,280116,Undergraduate degree,Businessperson,Urban,Low,Hearing impairment,51336,Daily
22,Hyderabad,Female,1641265,Postgraduate degree,Engineer,Sub-urban,High,Cognitive impairment,37398,Monthly
38,Hyderabad,Non-binary,1489359,Primary education,Technician,Rural,Low,Hearing impairment,39815,Monthly
66,Pimpri-Chinchwad,Male,1867839,No formal education,Technician,Rural,High,Mobility impairment,32484,Weekly
18,Jaipur,Non-binary,1850520,Postgraduate degree,Student,Rural,Low,Mobility impairment,96994,Weekly
49,Delhi,Male,1996943,No formal education,Artist,Rural,Low,Cognitive impairment,44087,Monthly
42,Bengaluru,Male,534687,Undergraduate degree,Technician,Urban,Low,Mobility impairment,80619,Weekly
41,Patna,Non-binary,1209488,No formal education,Teacher,Urban,Low,Mobility impairment,83376,Daily
37,Hyderabad,Female,1386564,Primary education,Teacher,Sub-urban,Low,Visual impairment (Blind),90757,Weekly
60,Indore,Non-binary,344500,Primary education,Businessperson,Rural,Low,Mobility impairment,44790,Daily
70,Patna,Female,1926610,Primary education,Student,Urban,High,Cognitive impairment,89338,Monthly
79,Kanpur,Male,1259328,Undergraduate degree,Businessperson,Rural,Low,Speech impairment,79365,Weekly
31,Ahmedabad,Non-binary,1040941,Secondary education,Teacher,Urban,Medium,Mobility impairment,69111,Weekly
33,Bhopal,Non-binary,267860,Undergraduate degree,Unemployed,Sub-urban,High,Visual impairment (Blind),13102,Monthly
36,Chennai,Female,384247,Postgraduate degree,Artist,Urban,Low,Mobility impairment,12006,Weekly
26,Lucknow,Male,1723661,No formal education,Technician,Rural,Low,Hearing impairment,48602,Daily
37,Kanpur,Male,655938,No formal education,Engineer,Urban,Low,Speech impairment,65067,Monthly
67,Hyderabad,Female,640405,No formal education,Artist,Rural,Low,Visual impairment (Blind),33719,Monthly
49,Surat,Non-binary,234220,No formal education,Unemployed,Rural,Low,Cognitive impairment,67665,Daily
35,Delhi,Male,1132124,Primary education,Farmer,Urban,High,Cognitive impairment,25369,Daily
18,Delhi,Male,1521761,Undergraduate degree,Teacher,Urban,High,Mobility impairment,49860,Weekly
71,Delhi,Male,275609,Secondary education,Doctor,Sub-urban,Medium,Mobility impairment,14139,Weekly
72,Vadodara,Male,1022131,Postgraduate degree,Businessperson,Urban,Medium,Cognitive impairment,14565,Monthly
53,Ahmedabad,Female,1820211,Postgraduate degree,Businessperson,Sub-urban,Low,Mobility impairment,97366,Daily
42,Ahmedabad,Non-binary,1076175,Postgraduate degree,Businessperson,Sub-urban,Low,Visual impairment (Blind),72672,Daily
61,Indore,Non-binary,1845528,No formal education,Teacher,Rural,High,Mobility impairment,21411,Daily
64,Thane,Female,968393,Secondary education,Artist,Urban,Low,Hearing impairment,42945,Weekly
75,Delhi,Male,1549570,Postgraduate degree,Farmer,Urban,Low,Mobility impairment,62663,Daily
49,Hyderabad,Male,1569958,Primary education,Teacher,Sub-urban,High,Visual impairment (Blind),20579,Daily
54,Surat,Non-binary,542861,Postgraduate degree,Teacher,Rural,Medium,Visual impairment (Blind),94967,Daily
68,Kolkata,Male,119413,No formal education,Technician,Rural,Medium,Speech impairment,59259,Monthly
66,Kanpur,Female,618745,Secondary education,Doctor,Urban,Low,Speech impairment,90233,Weekly
34,Nagpur,Non-binary,1650732,Primary education,Technician,Rural,Medium,Cognitive impairment,59419,Weekly
77,Jaipur,Female,284445,Undergraduate degree,Teacher,Urban,Low,Hearing impairment,21704,Daily
19,Lucknow,Male,1110418,Undergraduate degree,Engineer,Sub-urban,Medium,Speech impairment,44297,Monthly
56,Pune,Male,350700,Postgraduate degree,Unemployed,Rural,Low,Hearing impairment,78624,Weekly
38,Indore,Female,1371248,Undergraduate degree,Student,Urban,High,Mobility impairment,86277,Weekly
32,Delhi,Non-binary,1654078,Secondary education,Farmer,Urban,Low,Mobility impairment,14975,Daily
58,Nagpur,Male,1983323,Postgraduate degree,Farmer,Urban,Low,Hearing impairment,75021,Daily
48,Surat,Female,1696266,Secondary education,Technician,Urban,High,Speech impairment,32580,Weekly
22,Pune,Non-binary,1474093,Postgraduate degree,Technician,Rural,Medium,Mobility impairment,54741,Monthly
43,Ahmedabad,Male,427819,Undergraduate degree,Student,Rural,Medium,Mobility impairment,59949,Monthly
52,Kolkata,Non-binary,1453340,Undergraduate degree,Student,Urban,Medium,Cognitive impairment,74734,Daily
25,Chennai,Non-binary,165705,Postgraduate degree,Technician,Urban,High,Mobility impairment,60152,Weekly
52,Bhopal,Female,694283,Primary education,Unemployed,Sub-urban,Medium,Hearing impairment,55112,Weekly
73,Surat,Male,1505480,No formal education,Student,Urban,Low,Mobility impairment,21992,Weekly
59,Ahmedabad,Female,504811,Undergraduate degree,Farmer,Urban,Medium,Cognitive impairment,47414,Monthly
66,Indore,Non-binary,482422,Undergraduate degree,Teacher,Urban,High,Cognitive impairment,73845,Weekly
78,Bhopal,Non-binary,264161,Postgraduate degree,Unemployed,Urban,Low,Mobility impairment,18099,Monthly
57,Jaipur,Male,560487,Undergraduate degree,Student,Urban,High,Cognitive impairment,78997,Weekly
79,Bengaluru,Male,1924701,Undergraduate degree,Businessperson,Rural,High,Mobility impairment,33498,Weekly
55,Kolkata,Non-binary,465359,Postgraduate degree,Student,Sub-urban,Low,Mobility impairment,92221,Daily
60,Bhopal,Female,571137,Secondary education,Doctor,Urban,High,Visual impairment (Blind),54730,Monthly
68,Jaipur,Male,142114,Secondary education,Student,Rural,Low,Cognitive impairment,29134,Weekly
26,Pimpri-Chinchwad,Female,1483725,Undergraduate degree,Artist,Urban,High,Speech impairment,87159,Daily
19,Bhopal,Non-binary,482891,Secondary education,Engineer,Sub-urban,Medium,Visual impairment (Blind),43186,Weekly
34,Bengaluru,Male,1715916,Primary education,Student,Sub-urban,Low,Speech impairment,17161,Weekly
50,Patna,Non-binary,689804,No formal education,Farmer,Urban,Low,Hearing impairment,34080,Daily
57,Thane,Non-binary,1043524,Primary education,Unemployed,Sub-urban,High,Mobility impairment,6983,Daily
66,Chennai,Female,435708,No formal education,Student,Sub-urban,Medium,Speech impairment,86529,Monthly
51,Chennai,Male,276461,Primary education,Farmer,Rural,Medium,Hearing impairment,46654,Monthly
26,Ahmedabad,Non-binary,775782,Primary education,Engineer,Urban,Medium,Hearing impairment,42832,Weekly
44,Ahmedabad,Non-binary,477192,Postgraduate degree,Businessperson,Sub-urban,High,Speech impairment,63175,Monthly
71,Delhi,Male,1298296,No formal education,Businessperson,Sub-urban,High,Cognitive impairment,17383,Weekly
61,Visakhapatnam,Male,701369,Undergraduate degree,Doctor,Rural,Medium,Cognitive impairment,7433,Daily
73,Hyderabad,Female,1558089,Postgraduate degree,Businessperson,Sub-urban,High,Mobility impairment,7338,Weekly
24,Indore,Male,647875,No formal education,Engineer,Urban,Low,Hearing impairment,87944,Weekly
21,Vadodara,Male,1946437,No formal education,Unemployed,Sub-urban,Low,Visual impairment (Blind),69720,Weekly
33,Pimpri-Chinchwad,Male,1056962,Primary education,Farmer,Sub-urban,Low,Hearing impairment,13492,Weekly
41,Visakhapatnam,Non-binary,1464680,Secondary education,Doctor,Rural,High,Speech impairment,84544,Monthly
37,Patna,Male,174162,No formal education,Unemployed,Sub-urban,Medium,Cognitive impairment,42888,Daily
54,Nagpur,Female,182258,Postgraduate degree,Businessperson,Rural,High,Cognitive impairment,11522,Monthly
63,Indore,Non-binary,435147,Primary education,Artist,Sub-urban,High,Speech impairment,85100,Daily
41,Patna,Non-binary,609768,No formal education,Businessperson,Sub-urban,Low,Cognitive impairment,28520,Monthly
72,Pune,Male,1150301,Primary education,Teacher,Urban,Medium,Hearing impairment,26463,Weekly
51,Patna,Male,1061402,Secondary education,Unemployed,Rural,Low,Mobility impairment,87353,Monthly
25,Indore,Non-binary,772534,No formal education,Technician,Sub-urban,Medium,Mobility impairment,59570,Daily
43,Mumbai,Female,653510,Undergraduate degree,Farmer,Rural,Low,Hearing impairment,84111,Weekly
65,Bengaluru,Female,1259274,No formal education,Teacher,Urban,Medium,Mobility impairment,6047,Daily
57,Chennai,Non-binary,1367624,Secondary education,Engineer,Urban,High,Mobility impairment,9881,Weekly
28,Nagpur,Male,1853518,Postgraduate degree,Unemployed,Sub-urban,Low,Visual impairment (Blind),45084,Daily
61,Kolkata,Non-binary,1627983,Primary education,Engineer,Urban,High,Mobility impairment,13628,Daily
42,Bhopal,Female,1942482,Undergraduate degree,Engineer,Rural,Medium,Speech impairment,25012,Weekly
29,Jaipur,Female,703281,No formal education,Unemployed,Rural,Low,Visual impairment (Blind),89353,Weekly
25,Visakhapatnam,Male,1661188,No formal education,Teacher,Rural,Low,Visual impairment (Blind),39455,Monthly
66,Delhi,Non-binary,1830946,Postgraduate degree,Student,Rural,Medium,Mobility impairment,90939,Daily
46,Indore,Non-binary,1140623,Secondary education,Businessperson,Rural,High,Hearing impairment,5299,Weekly
31,Kolkata,Female,1176175,Primary education,Student,Urban,Low,Hearing impairment,95914,Weekly
66,Lucknow,Male,1677870,Secondary education,Artist,Sub-urban,Low,Visual impairment (Blind),91288,Weekly
76,Delhi,Non-binary,1507244,Primary education,Doctor,Rural,Medium,Visual impairment (Blind),64854,Weekly
18,Bengaluru,Male,994067,Undergraduate degree,Engineer,Rural,Low,Hearing impairment,20313,Weekly
21,Jaipur,Non-binary,1048448,No formal education,Unemployed,Rural,Low,Cognitive impairment,27131,Weekly
55,Indore,Non-binary,998231,Undergraduate degree,Artist,Urban,Low,Cognitive impairment,24345,Weekly
36,Surat,Female,1657857,Secondary education,Student,Urban,High,Mobility impairment,65077,Weekly
34,Delhi,Non-binary,1455518,No formal education,Technician,Urban,Medium,Hearing impairment,24056,Monthly
21,Lucknow,Female,1357280,Undergraduate degree,Unemployed,Rural,High,Hearing impairment,57075,Weekly
68,Delhi,Female,1677095,Postgraduate degree,Engineer,Urban,Low,Speech impairment,78520,Monthly
29,Patna,Male,400496,Secondary education,Unemployed,Urban,Medium,Cognitive impairment,5968,Monthly
57,Kolkata,Female,1260389,Undergraduate degree,Engineer,Sub-urban,Medium,Hearing impairment,26218,Daily
32,Chennai,Female,1245254,No formal education,Artist,Rural,Low,Visual impairment (Blind),6368,Weekly
52,Visakhapatnam,Female,1073019,Primary education,Farmer,Rural,High,Visual impairment (Blind),32850,Daily
52,Jaipur,Male,1629609,Undergraduate degree,Doctor,Rural,Low,Mobility impairment,20561,Daily
74,Vadodara,Female,1738692,No formal education,Student,Rural,Low,Hearing impairment,28274,Weekly
35,Indore,Male,789487,Postgraduate degree,Engineer,Rural,High,Mobility impairment,27287,Daily
73,Thane,Female,608321,Postgraduate degree,Engineer,Rural,High,Mobility impairment,91175,Monthly
41,Kanpur,Female,259392,Secondary education,Farmer,Sub-urban,Medium,Hearing impairment,59404,Monthly
63,Kanpur,Male,111040,Undergraduate degree,Farmer,Rural,Medium,Hearing impairment,36868,Weekly
68,Delhi,Female,1677101,Undergraduate degree,Artist,Rural,High,Speech impairment,88346,Monthly
49,Surat,Non-binary,1428808,Undergraduate degree,Technician,Urban,Low,Hearing impairment,98087,Weekly
26,Indore,Non-binary,818034,Secondary education,Engineer,Urban,Low,Mobility impairment,92856,Monthly
25,Chennai,Male,566618,Postgraduate degree,Unemployed,Urban,Low,Cognitive impairment,11384,Weekly
78,Bhopal,Male,789368,Secondary education,Unemployed,Urban,Medium,Visual impairment (Blind),88160,Weekly
31,Pimpri-Chinchwad,Non-binary,1815200,Postgraduate degree,Doctor,Urban,High,Visual impairment (Blind),32323,Weekly
55,Vadodara,Non-binary,1827548,Secondary education,Engineer,Rural,High,Speech impairment,98640,Daily
35,Bengaluru,Female,1794368,Postgraduate degree,Teacher,Sub-urban,Medium,Speech impairment,71542,Monthly
62,Pimpri-Chinchwad,Female,1324398,Primary education,Student,Urban,Low,Speech impairment,18403,Weekly
79,Delhi,Non-binary,1085839,Primary education,Technician,Sub-urban,Medium,Cognitive impairment,20749,Daily
23,Lucknow,Male,641446,No formal education,Farmer,Urban,Low,Visual impairment (Blind),29724,Daily
63,Pune,Male,927536,No formal education,Artist,Rural,High,Hearing impairment,43168,Daily
29,Thane,Non-binary,1090265,No formal education,Teacher,Urban,High,Visual impairment (Blind),31313,Monthly
48,Bengaluru,Non-binary,296306,Primary education,Unemployed,Urban,Low,Visual impairment (Blind),88388,Daily
18,Lucknow,Male,691088,Secondary education,Teacher,Rural,High,Hearing impairment,23715,Weekly
40,Hyderabad,Female,616220,Primary education,Engineer,Rural,Medium,Cognitive impairment,62207,Monthly
29,Visakhapatnam,Female,922288,No formal education,Engineer,Rural,Low,Hearing impairment,96545,Daily
45,Bhopal,Female,1701048,Secondary education,Farmer,Urban,Low,Hearing impairment,31756,Daily
66,Surat,Non-binary,693367,Primary education,Technician,Rural,High,Speech impairment,82936,Weekly
54,Patna,Female,1748258,No formal education,Student,Sub-urban,High,Visual impairment (Blind),50912,Monthly
66,Vadodara,Male,817737,Primary education,Unemployed,Rural,Low,Cognitive impairment,59050,Daily
72,Thane,Female,1965741,Undergraduate degree,Farmer,Urban,High,Cognitive impairment,84417,Weekly
35,Nagpur,Female,1704981,Primary education,Engineer,Rural,Low,Cognitive impairment,72273,Monthly
63,Lucknow,Female,941334,Postgraduate degree,Unemployed,Sub-urban,High,Visual impairment (Blind),83502,Monthly
41,Indore,Female,738369,Postgraduate degree,Unemployed,Urban,Medium,Cognitive impairment,30648,Monthly
77,Visakhapatnam,Male,1852124,Secondary education,Doctor,Urban,High,Cognitive impairment,70323,Weekly
32,Patna,Male,746314,No formal education,Unemployed,Urban,High,Hearing impairment,28785,Weekly
78,Pimpri-Chinchwad,Non-binary,1571387,Primary education,Technician,Sub-urban,Medium,Cognitive impairment,73039,Daily
46,Pimpri-Chinchwad,Male,595150,No formal education,Artist,Sub-urban,Low,Visual impairment (Blind),14662,Weekly
18,Kanpur,Male,832125,No formal education,Engineer,Sub-urban,Low,Visual impairment (Blind),46620,Weekly
31,Hyderabad,Female,1387097,No formal education,Businessperson,Sub-urban,Low,Mobility impairment,98551,Weekly
61,Surat,Non-binary,1747035,Primary education,Businessperson,Rural,Low,Visual impairment (Blind),15067,Daily
74,Kolkata,Male,1329326,Undergraduate degree,Engineer,Rural,Medium,Mobility impairment,79069,Daily
57,Bhopal,Female,1302228,No formal education,Student,Urban,Medium,Hearing impairment,43292,Weekly
48,Kolkata,Non-binary,1779683,Undergraduate degree,Student,Urban,Low,Mobility impairment,90135,Weekly
21,Kanpur,Non-binary,1603029,Secondary education,Farmer,Sub-urban,Low,Mobility impairment,51958,Monthly
62,Surat,Male,1922971,Secondary education,Farmer,Urban,High,Cognitive impairment,91576,Daily
47,Bhopal,Male,753211,No formal education,Unemployed,Rural,Low,Mobility impairment,5581,Weekly
74,Hyderabad,Male,1482979,Secondary education,Teacher,Urban,Low,Hearing impairment,58049,Daily
53,Pune,Non-binary,466867,Undergraduate degree,Doctor,Sub-urban,High,Hearing impairment,19135,Daily
30,Patna,Non-binary,1914045,No formal education,Technician,Urban,Low,Mobility impairment,75608,Weekly
51,Kolkata,Female,1525128,Secondary education,Businessperson,Sub-urban,Low,Speech impairment,35072,Weekly
27,Nagpur,Male,1164792,Secondary education,Teacher,Sub-urban,Low,Mobility impairment,90593,Weekly
59,Kanpur,Female,467247,Undergraduate degree,Student,Rural,Low,Speech impairment,60349,Daily
28,Jaipur,Non-binary,1123810,Postgraduate degree,Engineer,Rural,High,Visual impairment (Blind),29933,Weekly
68,Indore,Female,1440382,No formal education,Artist,Rural,Low,Mobility impairment,99295,Daily
76,Surat,Non-binary,1149717,Primary education,Businessperson,Urban,Medium,Speech impairment,24303,Monthly
73,Bhopal,Male,913378,Primary education,Businessperson,Rural,Medium,Mobility impairment,33196,Daily
80,Vadodara,Female,195001,Postgraduate degree,Doctor,Urban,Low,Hearing impairment,19716,Weekly
67,Bengaluru,Male,338836,No formal education,Businessperson,Rural,Low,Visual impairment (Blind),66924,Daily
38,Mumbai,Non-binary,1764092,Secondary education,Businessperson,Urban,Low,Cognitive impairment,63785,Monthly
30,Bengaluru,Male,843875,Primary education,Teacher,Sub-urban,High,Hearing impairment,40704,Daily
37,Mumbai,Female,1297777,No formal education,Artist,Urban,Medium,Speech impairment,49233,Weekly
18,Bengaluru,Non-binary,272397,Postgraduate degree,Teacher,Sub-urban,Medium,Visual impairment (Blind),79300,Daily
19,Thane,Male,1850092,Secondary education,Student,Sub-urban,High,Mobility impairment,34181,Monthly
46,Bhopal,Non-binary,590714,Postgraduate degree,Teacher,Rural,Medium,Hearing impairment,77240,Weekly
79,Chennai,Female,252084,Undergraduate degree,Farmer,Rural,Medium,Speech impairment,39121,Weekly
35,Patna,Non-binary,593973,Primary education,Technician,Rural,Medium,Mobility impairment,66657,Weekly
18,Indore,Non-binary,595075,Undergraduate degree,Artist,Rural,Low,Speech impairment,24549,Daily
39,Delhi,Male,220845,No formal education,Doctor,Sub-urban,Low,Visual impairment (Blind),6075,Monthly
59,Mumbai,Male,206854,No formal education,Doctor,Rural,Low,Visual impairment (Blind),21393,Monthly
68,Patna,Non-binary,1546256,Primary education,Student,Sub-urban,High,Mobility impairment,59545,Monthly
79,Bengaluru,Male,1567726,No formal education,Teacher,Sub-urban,High,Mobility impairment,67434,Daily
34,Vadodara,Non-binary,1015427,Secondary education,Student,Sub-urban,Medium,Hearing impairment,5418,Monthly
49,Jaipur,Female,784515,Secondary education,Engineer,Rural,Low,Visual impairment (Blind),5124,Weekly
31,Pimpri-Chinchwad,Male,1822037,Secondary education,Technician,Urban,Low,Speech impairment,75412,Weekly
49,Lucknow,Male,463438,Postgraduate degree,Artist,Rural,Low,Hearing impairment,78418,Monthly
